name,latitude,longitude,num_reviews
ShakesBeer,37.929356,23.75615,136.0
K. Grill Lycabettus,37.982075,23.743408,78.0
Kitro,37.97505,23.727707,91.0
Vinoterra Resto & Cava,38.04313,23.7727,73.0
A for Athens,37.976864,23.72584,373.0
Yogolicious,37.975784,23.72494,277.0
Kallipatira,37.976585,23.722872,56.0
Kinono,37.964645,23.72654,58.0
Palia Omonoia,37.984238,23.7286,100.0
Tre Sorelle,37.97168,23.746058,101.0
Acropolis Restaurant Cafe,37.968906,23.725227,120.0
Terra Cafe-Deli-Enoteca,37.97567,23.73302,51.0
O Tzitzikas ki O Merminkas,38.020466,23.741322,105.0
Best Taste Experts,37.96753,23.705803,56.0
Kirios Who,37.970528,23.71255,44.0
Makriyianni 3,37.96929,23.729778,161.0
Athenian Callirhoe Hotel Roof Garden,37.96571,23.729498,171.0
Kitrinos Skiouros,37.97588,23.755884,79.0
Ta Kalamia,37.791107,23.879198,107.0
Just Made 33,37.97748,23.729364,423.0
Carte Postale Cafe Restaurant,37.97648,23.72186,150.0
Bousoulas,37.96893,23.75916,45.0
Acropol Restaurant,37.971863,23.73119,132.0
Bampis,37.93416,23.70155,88.0
Seven Jokers,37.97692,23.732826,70.0
Brigante,37.97422,23.734083,190.0
Attika Aptonoieia,37.9763,23.728569,177.0
Dipylo,37.977123,23.722357,137.0
Passaggio Music Cafe,37.96789,23.729572,57.0
Anteti,37.969147,23.712881,295.0
Kalokairinos Tavern,37.972984,23.730911,56.0
Ice Scream Athens,37.975426,23.728136,62.0
Fleivor,37.975494,23.733353,48.0
Kings Theater Wine Bar,37.977802,23.72463,60.0
Marmita Sti Hovoli,37.983414,23.756681,97.0
Fouar Restaurant & Bar,37.97597,23.72824,131.0
Kafeneio To 111,37.976887,23.723494,75.0
Volta,37.97262,23.710354,85.0
Tzatzos A.E,37.96611,23.72584,87.0
Anemos,38.03546,23.6709,48.0
Cafe Peros or Peros Cafe,37.977406,23.741077,72.0
Kaltherimi,37.979324,23.729958,53.0
Minoas Kafe,37.975018,23.72972,46.0
To Prodorpion,37.98177,23.73435,50.0
L'arret du temps,37.97437,23.750769,65.0
La Pasteria - Kolonaki,37.978367,23.736097,366.0
Taverna Saita,37.97244,23.732037,687.0
Adam o Girologos,37.99057,23.706472,50.0
Wine On Tap,37.978428,23.724962,49.0
Patisserie Artemis,37.96792,23.729221,78.0
Paul Boulangerie Patisserie,37.977413,23.73543,145.0
Hermion,37.975124,23.728245,674.0
5F,37.972645,23.753872,464.0
Tsipouromania,38.059074,23.755781,50.0
2MAZI Restaurant,37.97293,23.733011,885.0
Piu Verde,37.993477,23.792763,501.0
To Koutouki Tou Kallinikou,37.9881,23.73013,73.0
Taverna Plaka,37.97206,23.73138,536.0
Η Παληα Αθηνα,37.96261,23.74618,44.0
Ginger Grill,37.99269,23.726728,46.0
Pita Pan,37.973927,23.750505,162.0
Fuga,37.98152,23.752714,162.0
OLd Fashioned Bar,37.977715,23.72537,45.0
