name,latitude,longitude,rating,num_reviews,rooms,total_grade
Athens City View,37.977478,23.727749,5.0,14.0,11.0,100.0
Alma Hotel,37.98492,23.72898,2.0,151.0,64.0,100.0
Suites At Syngrou-Fix,37.96441,23.725706,5.0,4.0,9.0,100.0
Delice Hotel - Family Apartments,37.974377,23.750776,4.0,214.0,25.0,100.0
NJV Athens Plaza,37.97635,23.734549,4.0,1364.0,180.0,100.0
Xenophon Hotel,38.01521,23.72891,3.0,114.0,186.0,64.0
Hotel Nafsika,37.98594,23.723003,3.0,187.0,44.0,100.0
Pallas Athena Grecotel Boutique Hotel,37.98261,23.727417,4.5,1197.0,63.0,100.0
Coco-Mat Hotel Athens,37.97798,23.744194,4.5,574.0,39.0,100.0
Electra Palace Athens,37.97375,23.731936,4.5,4080.0,154.0,100.0
Villa Mc Queen,37.98419,23.711317,5.0,2.0,0.0,87.0
Moxy Athens City,37.98345,23.728512,4.5,51.0,0.0,100.0
"Academias Hotel, Autograph Collection",37.979694,23.736052,4.5,129.0,60.0,100.0
Hotel Kypseli,38.00114,23.74024,2.5,2.0,18.0,79.0
Breeze Boutique Athens,37.98638,23.72745,4.0,81.0,0.0,100.0
COCO-MAT Athens Jumelle,37.97577,23.74305,4.5,103.0,45.0,100.0
The Modernist Athens,37.97741,23.749311,5.0,74.0,38.0,100.0
Apollonia Hotel Apartments,37.821095,23.796177,3.0,92.0,37.0,0.0
Airotel Stratos Vassilikos Hotel,37.981304,23.758953,4.5,890.0,88.0,95.0
Hotel Neos Olympos,37.988766,23.720203,3.0,294.0,27.0,94.0
Marina Hotel Athens,37.983425,23.724072,3.5,1043.0,81.0,100.0
Foivos Hotel Athens,37.946854,23.682339,3.5,8.0,26.0,69.0
Candia Hotel,37.989124,23.720322,3.0,310.0,142.0,93.0
Amazon Hotel,37.97524,23.731909,4.0,1270.0,42.0,100.0
NEW Hotel,37.9734,23.733585,4.5,1902.0,79.0,100.0
Airotel Alexandros,37.983368,23.757019,4.0,906.0,93.0,93.0
Hotel Metropolis,37.975414,23.730652,4.0,801.0,22.0,100.0
Electra Hotel Athens,37.97584,23.732998,4.0,1309.0,109.0,100.0
Hotel Tony,37.965355,23.72342,4.5,659.0,16.0,100.0
Orion & Dryades Hotel,37.98743,23.738064,4.0,324.0,30.0,94.0
SOUL Athens Hotel,37.98064,23.725603,4.5,32.0,49.0,100.0
Achillion Athens Hotel,37.984974,23.724155,3.5,495.0,63.0,100.0
Athens Utopia Ermou,37.976337,23.729462,4.5,210.0,28.0,100.0
Pythagorion Hotel,37.98486,23.724588,4.0,708.0,56.0,100.0
Athens One Smart Hotel,37.986122,23.725363,4.5,59.0,42.0,100.0
Athens Diamond Homtel,37.97533,23.732449,4.0,777.0,21.0,100.0
Wyndham Grand Athens,37.985153,23.721218,4.0,1305.0,276.0,100.0
Attalos Hotel,37.978447,23.726465,4.0,2383.0,78.0,100.0
Hotel Acropolis House,37.973385,23.732063,4.0,592.0,22.0,100.0
The Zillers Athens Boutique Hotel,37.975636,23.72942,4.5,257.0,10.0,100.0
Alter Athens Hotel,37.98694,23.7402,4.0,34.0,17.0,87.0
Hotel Elite,37.982662,23.72527,2.5,192.0,36.0,100.0
Athens Golden City Hotel,37.98643,23.725334,3.0,1.0,0.0,100.0
Selina Theatrou Athens,37.98077,23.72485,4.0,24.0,101.0,100.0
Plaka Hotel,37.975792,23.728308,4.5,4083.0,67.0,100.0
Niki Athens Hotel,37.97379,23.733002,4.5,64.0,23.0,100.0
City Center Athenes Rooms,37.987278,23.728203,1.0,1.0,0.0,100.0
Heritage Hill Hotel,37.962475,23.724306,4.5,45.0,36.0,100.0
Art Suites Athens,37.980503,23.756998,3.5,129.0,10.0,97.0
Filoxenia Hotel,37.99113,23.72712,2.5,61.0,51.0,95.0
The Editor Athens Hotel,37.97773,23.727287,4.5,58.0,40.0,100.0
King Jason Hotel,37.98338,23.72198,2.5,105.0,114.0,100.0
Adonis Hotel,37.973347,23.732227,3.5,595.0,26.0,100.0
Athinais Hotel,37.983307,23.757431,4.0,460.0,84.0,93.0
Hotel Victory,37.99477,23.72886,4.0,1.0,19.0,95.0
Airotel Parthenon,37.96915,23.730534,4.0,1895.0,79.0,100.0
Fresh Hotel,37.981228,23.726898,4.0,2660.0,133.0,100.0
Hilton Athens,37.976013,23.750368,4.5,4745.0,506.0,100.0
Pan Hotel,37.975147,23.732635,4.0,803.0,33.0,100.0
Green Suites Boutique Hotel,38.022297,23.735214,4.5,40.0,41.0,72.0
Kimon Hotel Athens,37.974663,23.730139,4.0,443.0,14.0,100.0
ROY Hotel,38.0032,23.72859,3.5,16.0,37.0,89.0
Omiros Hotel,37.97475,23.731735,3.5,484.0,40.0,100.0
Pure Hotel By Athens Prime Hotels,37.978065,23.728682,3.5,3.0,33.0,100.0
"Crowne Plaza Athens - City Centre, an IHG Hotel",37.97693,23.755089,4.0,1068.0,191.0,99.0
Marble House,37.96387,23.724117,4.5,943.0,16.0,100.0
Hotel Priamos,37.97126,23.74266,3.5,21.0,50.0,100.0
Coco-Mat Athens BC,37.967354,23.729221,4.5,275.0,94.0,100.0
Hotel Carolina,37.977768,23.729115,3.5,295.0,31.0,100.0
Areos Hotel,37.991,23.733932,4.5,740.0,38.0,90.0
Athens Atrium Hotel & Suites,37.954636,23.71794,4.0,571.0,56.0,81.0
Kubic a Member of Brown Hotels,37.98474,23.724798,4.5,181.0,112.0,100.0
Grand Hyatt Athens,37.957413,23.718184,4.0,1073.0,0.0,88.0
Hotel Thissio,37.974037,23.720001,3.5,27.0,6.0,100.0
Amalia Hotel Athens,37.973946,23.735025,4.5,2195.0,98.0,100.0
